critical_ratio,resonance_ratio,pitch_lambda,orbit_shift,branch,amplitude_ratio_fow_over_zow,eta_sd_zow,eta_maxwell_zow,eta_sd_fow,eta_maxwell_fow,distribution_gap_zow,distribution_gap_fow,orbit_gap_sd,orbit_gap_maxwell,orbit_shift_exceeds_distribution_gap,signed_interaction
0.31,0.5,0.36,0.7,-1,0.7557837414557255,1.2113107351202588,1.071351201948552,1.4300607351202588,1.290101201948552,0.13995953317170673,0.13995953317170673,0.21875,0.21875,True,0.0
0.31,0.5,0.36,0.7,1,1.3231298123374369,1.2113107351202588,1.071351201948552,0.9925607351202588,0.852601201948552,0.13995953317170673,0.13995953317170673,0.21875,0.21875,True,0.0
0.31,0.5,0.36,0.8,-1,0.7261490370736908,1.2113107351202588,1.071351201948552,1.4613107351202588,1.321351201948552,0.13995953317170673,0.13995953317170673,0.25,0.25,True,0.0
0.31,0.5,0.36,0.8,1,1.3771277643359572,1.2113107351202588,1.071351201948552,0.9613107351202588,0.821351201948552,0.13995953317170673,0.13995953317170673,0.25,0.25,True,0.0
0.31,0.5,0.36,0.9,-1,0.697676326071031,1.2113107351202588,1.071351201948552,1.4925607351202588,1.352601201948552,0.13995953317170673,0.13995953317170673,0.28125,0.28125,True,0.0
0.31,0.5,0.36,0.9,1,1.4333294145603404,1.2113107351202588,1.071351201948552,0.9300607351202588,0.790101201948552,0.13995953317170673,0.13995953317170673,0.28125,0.28125,True,0.0
0.31,0.5,0.36,1.0,-1,0.6703200460356393,1.2113107351202588,1.071351201948552,1.5238107351202588,1.383851201948552,0.13995953317170673,0.13995953317170673,0.3125,0.3125,True,0.0
0.31,0.5,0.36,1.0,1,1.4918246976412703,1.2113107351202588,1.071351201948552,0.8988107351202588,0.758851201948552,0.13995953317170673,0.13995953317170673,0.3125,0.3125,True,0.0
0.31,0.5,0.45,0.0,-1,1.0,1.2113107351202588,1.071351201948552,1.2113107351202588,1.071351201948552,0.13995953317170673,0.13995953317170673,0.0,0.0,False,0.0
0.31,0.5,0.45,0.0,1,1.0,1.2113107351202588,1.071351201948552,1.2113107351202588,1.071351201948552,0.13995953317170673,0.13995953317170673,0.0,0.0,False,0.0
0.31,0.5,0.45,0.1,-1,0.963598088032503,1.2113107351202588,1.071351201948552,1.245020728243421,1.1050611950717142,0.13995953317170673,0.13995953317170673,0.03370999312316214,0.03370999312316214,False,0.0
0.31,0.5,0.45,0.1,1,1.0377770695268016,1.2113107351202588,1.071351201948552,1.1776007419970966,1.03764120882539,0.13995953317170673,0.13995953317170673,0.03370999312316214,0.03370999312316214,False,0.0
0.31,0.5,0.45,0.2,-1,0.9285212752598954,1.2113107351202588,1.071351201948552,1.278730721366583,1.1387711881948763,0.13995953317170673,0.13995953317170673,0.06741998624632428,0.06741998624632428,False,0.0
0.31,0.5,0.45,0.2,1,1.076981246035636,1.2113107351202588,1.071351201948552,1.1438907488739345,1.0039312157022278,0.13995953317170673,0.13995953317170673,0.06741998624632428,0.06741998624632428,False,0.0
0.31,0.5,0.45,0.3,-1,0.8947213255379366,1.2113107351202588,1.071351201948552,1.3124407144897452,1.1724811813180382,0.13995953317170673,0.13995953317170695,0.10112997936948642,0.1011299793694862,False,2.220446049250313e-16
