protocol,scenario,architecture,needs_p10,needs_median,needs_p90,ecology_p10,ecology_median,ecology_p90,rights_p10,rights_median,rights_p90,democracy_p10,democracy_median,democracy_p90,recovery_p10,recovery_median,recovery_p90,administrative_burden_p10,administrative_burden_median,administrative_burden_p90,capture_p10,capture_median,capture_p90,coercive_concentration_p10,coercive_concentration_median,coercive_concentration_p90,joint_pass_rate,catastrophic_rate
broad_uncertainty,water_coordination,cct_v01,63.56790689092464,72.78588979548908,81.43953063062116,83.08127036862979,90.67006701936288,95.17854390256103,81.55561700962147,88.11688072828925,93.70406238495762,83.19573537379057,89.77172707783426,94.68240486028098,71.17230544100147,77.12952818911815,83.06651922742898,42.22733089890613,58.50264500142556,72.97688782051685,2.1852393145873856,8.09478300609161,16.26995093895138,0.0,3.75820932307869,8.93912905246644,0.8625,0.0
broad_uncertainty,water_coordination,central_state,86.31282761311459,93.17940989869945,99.69589299030903,77.75164890532378,87.14670562118391,94.399473196323,65.18150060199909,74.94624592356661,84.28546952054919,62.868796841107,72.55470763198886,82.83524206651424,77.73043941341498,83.54418575087043,88.99871076302499,10.82340339239249,22.51988365131775,37.61348150083472,11.286256415402441,19.985092535816726,28.39486912863929,10.46587040356746,19.14528801737538,28.092990233414536,0.89,0.0
broad_uncertainty,water_coordination,market_federation,86.02009237325049,93.25303707738426,100.0,65.24596811871086,75.5935470079273,85.6098783643559,75.24421094734815,84.12162573286494,91.27402356852693,74.0649908001059,83.34301520423175,91.14530991425747,78.61329913312144,84.34947899014978,89.83748387226325,10.343568099990321,20.911970741684517,35.521496169790545,6.350366456242535,14.094331085477899,22.594858319811852,4.537542728384767,11.150836591565216,19.295669714934117,0.902,0.0
broad_uncertainty,administrative_capture,cct_v08,91.1042389788946,94.79028259587736,98.27496416349942,89.48235341153521,94.7409772899664,98.99927061522192,88.06824494240406,92.3375724108414,96.61379598982225,84.93263763507261,90.41547666952651,95.24967142894579,100.0,100.0,100.0,4.088220139562542,10.21822911316676,17.608754879478678,4.12761226644333,9.758665055188697,16.376966824410527,0.0,3.860888820038803,9.906703235692168,1.0,0.0
broad_uncertainty,administrative_capture,cct_v01,82.32093041007096,86.68172725221736,90.53870411432342,85.42016794557921,90.92076123856071,95.09662640329176,75.65159576102128,80.89429772838483,86.02142677174645,69.09259802724064,75.53362238302878,81.98939179386629,96.54053297309468,100.0,100.0,19.715028150676964,27.972368050706933,36.02738324366681,16.936159268434587,24.1927414133037,32.508762146174156,1.2027667274882525,6.292691408978545,12.870640944493955,0.9975,0.0
broad_uncertainty,administrative_capture,central_state,80.46532950623025,84.69630850399415,88.71524346481172,75.62344105881147,82.36695788437042,88.2008415028718,70.8222944362226,76.52859024330483,81.85512082166694,62.38657167643799,69.09325408478196,75.87158488741672,87.52302157646875,94.07591529180063,100.0,5.033677919015946,11.331999616556807,18.596860902949977,30.054637303513754,38.84094336287276,47.24346934728884,8.322787118839782,15.188508841283305,22.411372817269026,0.959,0.0
broad_uncertainty,administrative_capture,market_federation,83.59286606566157,87.771533774323,92.27966912314538,70.75329350743745,77.71932110630418,84.69758139332555,75.66284066758813,81.40995355429567,87.04718977003718,68.684450173708,75.81244967194272,83.27189966411777,95.68910379576391,100.0,100.0,4.340060372093694,10.397869090198293,17.73679212922726,20.86103909512388,29.931839526273986,39.37399442863854,4.155473526184226,10.42368403037932,17.583013303437188,0.99,0.0
broad_uncertainty,planning_gaming,cct_v08,72.42620880409093,81.61257524137417,89.3810575172142,88.41530252528479,95.35732652185551,99.85993154135046,90.31827618617405,94.79039192995748,98.37520531554375,89.0510086893942,94.39651668007767,98.99753584725627,81.14669186800684,88.12968004822824,94.03422742382287,3.558554568889238,10.521599397384112,20.34264556378784,0.8151461041271075,6.544168121484157,16.437290930282245,0.0,2.709012090222351,7.014472164282054,0.9855,0.0
broad_uncertainty,planning_gaming,cct_v01,46.179635437462885,57.59310751628591,67.16952901441434,85.32589834165925,93.0294811313425,97.86863215871658,80.65457957971554,86.39080369884469,91.02888247784372,82.10873874322607,88.80409395731648,94.60286916444225,63.8348303701407,71.55387765983946,79.32938400297805,19.92281175728809,31.31813122192218,41.14027787761257,7.577158141329789,18.072897033610364,31.737248417594653,0.20809068512641427,4.191276043466292,9.114289719459203,0.1725,0.024
broad_uncertainty,planning_gaming,central_state,44.1310555664202,54.76675001045718,64.93107692988319,72.84774694431843,83.71089878319654,91.3590994433529,83.68078785664719,88.23070893244068,92.20650334155613,71.53992099827376,78.27695973468389,85.12499017843376,70.07553094350605,77.60436963495218,85.07376469006473,10.38187965206777,18.471388652453605,29.139231947379738,18.149217373969844,30.833103227706935,43.55339105955201,5.186349999456566,10.18668566869006,14.920769652046937,0.098,0.039
broad_uncertainty,planning_gaming,market_federation,56.346187042412986,67.551667886767,77.98504269795002,57.89135985160501,69.87679547973204,82.15392827550698,80.88770312718671,88.12110880996502,93.9781809091549,78.44425664812216,84.83936311593084,90.95497056939541,76.03908134128231,83.41505676766269,90.00085266792757,4.353924700843241,10.768846491753193,19.819922684597984,10.495095151893112,21.26132022367841,33.271717725161324,2.273043602597808,6.888072606925604,11.970614709309167,0.448,0.001
broad_uncertainty,local_tyranny,cct_v08,94.83043178197592,97.95593840038987,100.0,94.13501683716967,98.27355997521204,100.0,84.70094151344247,91.38718872362477,96.87484451933408,88.94712665985779,94.13784524070101,98.46909456468279,86.61142840647791,92.30885923301753,97.21229986734612,1.3448165345820882,7.137024763111033,15.552833295427709,2.6737453919745464,7.484851687596695,13.96325224556382,0.0,0.8167929881089544,4.120089234303115,1.0,0.0
broad_uncertainty,local_tyranny,cct_v01,91.62723544751688,95.05221715275144,98.38045273204088,94.17550363668421,98.29404739976135,100.0,70.01163718211642,79.32146001858722,87.46966991028421,79.09293140275966,85.89105584938352,91.45882944298685,68.46709523224703,75.8781447650896,82.56588909611263,14.407797749550765,22.61498407213294,30.643438446400843,11.493314826851146,19.286411967396113,28.580917495577875,0.0,1.2749001338456871,4.920298453005709,0.9675,0.0
broad_uncertainty,local_tyranny,central_state,92.46122396313919,95.74347225487759,98.98801652487646,89.86488825927047,94.99449159010763,99.45280474737969,70.5357788372364,78.44698253456774,86.66295411146653,79.01165143910059,84.93430222375399,90.96194961964827,74.09842124112154,80.68208376011285,87.27385465590274,3.4174387325832707,10.269403692698171,18.56948189943217,1.2807222301580292,6.419609097299045,14.714630294728881,6.938209488009168,13.913581499490501,21.368980068776413,0.986,0.0
